"Nub_ID","Time","Species","Coral","Color","Colony","Treatment","Tank","Assignment","Memory_num","Fo","Fm","Yield"
"G196_Por5_CH_3.3",2,"Porites",196,"G",5,3,3,"CH",685,486,1195,0.593
"G197_Por5_CH_4.3",2,"Porites",197,"G",5,4,3,"CH",689,415,1136,0.635
"G198_Por5_CH_T0.",2,"Porites",198,"G",5,NA,NA,"T0",NA,NA,NA,NA
"G199_Por5_TP_4.1",2,"Porites",199,"G",5,4,1,"TP",644,490,1350,0.637
"G200_Por5_CH_0.1",2,"Porites",200,"G",5,0,1,"CH",669,474,1197,0.604
"R001_Poc6_CH_4.2",2,"Pocillopora",1,"R",6,4,2,"CH",741,458,1537,0.702
"R002_Poc6_CH_T0.",2,"Pocillopora",2,"R",6,NA,NA,"T0",NA,NA,NA,NA
"R003_Poc6_CH_3.2",2,"Pocillopora",3,"R",6,3,2,"CH",751,297,816,0.636
"R004_Poc6_CH_1.2",2,"Pocillopora",4,"R",6,1,2,"CH",759,350,968,0.638
"R005_Poc6_TP_2.3",2,"Pocillopora",5,"R",6,2,3,"TP",699,404,1220,0.669
"R006_Poc6_CH_0.1",2,"Pocillopora",6,"R",6,0,1,"CH",802,362,1023,0.646
"R007_Poc6_CH_2.3",2,"Pocillopora",7,"R",6,2,3,"CH",703,506,1485,0.659
"R008_Poc6_TP_0.2",2,"Pocillopora",8,"R",6,0,2,"TP",769,352,1049,0.664
"R009_Poc6_CH_2.1",2,"Pocillopora",9,"R",6,2,1,"CH",795,305,869,0.649
"R010_Poc6_CH_4.3",2,"Pocillopora",10,"R",6,4,3,"CH",823,338,736,0.541
"R011_Poc6_CH_2.2",2,"Pocillopora",11,"R",6,2,2,"CH",734,359,1048,0.657
"R012_Poc6_CH_0.3",2,"Pocillopora",12,"R",6,0,3,"CH",723,290,904,0.679
"R013_Poc6_CH_1.3",2,"Pocillopora",13,"R",6,1,3,"CH",716,564,1688,0.666
"R014_Poc6_CH_3.3",2,"Pocillopora",14,"R",6,3,3,"CH",813,170,383,0.556
"R015_Poc6_CH_4.1",2,"Pocillopora",15,"R",6,4,1,"CH",779,276,800,0.655
"R016_Poc6_TP_4.2",2,"Pocillopora",16,"R",6,4,2,"TP",747,398,1201,0.669
"R017_Poc6_CH_T0.",2,"Pocillopora",17,"R",6,NA,NA,"T0",NA,NA,NA,NA
"R018_Poc6_CH_3.1",2,"Pocillopora",18,"R",6,3,1,"CH",772,252,752,0.665
"R019_Poc6_CH_1.1",2,"Pocillopora",19,"R",6,1,1,"CH",812,293,848,0.654
"R020_Poc6_CH_0.2",2,"Pocillopora",20,"R",6,0,2,"CH",768,227,655,0.653
"R021_Poc7_CH_3.2",2,"Pocillopora",21,"R",7,3,2,"CH",750,560,1567,0.643
"R022_Poc7_CH_0.3",2,"Pocillopora",22,"R",7,0,3,"CH",721,425,1446,0.706
"R023_Poc7_CH_0.1",2,"Pocillopora",23,"R",7,0,1,"CH",805,501,1350,0.629
"R024_Poc7_CH_2.1",2,"Pocillopora",24,"R",7,2,1,"CH",793,530,1572,0.663
"R025_Poc7_CH_1.2",2,"Pocillopora",25,"R",7,1,2,"CH",757,232,774,0.7
"R026_Poc7_CH_4.2",2,"Pocillopora",26,"R",7,4,2,"CH",744,535,1420,0.623
"R027_Poc7_CH_1.1",2,"Pocillopora",27,"R",7,1,1,"CH",810,375,1108,0.662
"R028_Poc7_TP_2.2",2,"Pocillopora",28,"R",7,2,2,"TP",732,314,907,0.654
"R029_Poc7_CH_3.3",2,"Pocillopora",29,"R",7,3,3,"CH",815,464,1385,0.665
"R030_Poc7_CH_3.1",2,"Pocillopora",30,"R",7,3,1,"CH",774,347,1010,0.656
"R031_Poc7_CH_4.1",2,"Pocillopora",31,"R",7,4,1,"CH",763,255,659,0.613
"R032_Poc7_TP_0.3",2,"Pocillopora",32,"R",7,0,3,"TP",729,354,851,0.584
"R033_Poc7_CH_4.3",2,"Pocillopora",33,"R",7,4,3,"CH",831,470,1358,0.654
"R034_Poc7_CH_T0.",2,"Pocillopora",34,"R",7,NA,NA,"T0",NA,NA,NA,NA
"R035_Poc7_CH_T0.",2,"Pocillopora",35,"R",7,NA,NA,"T0",NA,NA,NA,NA
"R036_Poc7_CH_0.2",2,"Pocillopora",36,"R",7,0,2,"CH",767,425,1193,0.644
"R037_Poc7_CH_2.3",2,"Pocillopora",37,"R",7,2,3,"CH",702,594,1681,0.647
"R038_Poc7_CH_2.2",2,"Pocillopora",38,"R",7,2,2,"CH",735,466,1393,0.665
"R039_Poc7_TP_4.3",2,"Pocillopora",39,"R",7,4,3,"TP",825,321,867,0.63
"R040_Poc7_CH_1.3",2,"Pocillopora",40,"R",7,1,3,"CH",712,549,1833,0.7
"R041_Poc8_TP_0.2",2,"Pocillopora",41,"R",8,0,2,"TP",780,541,1608,0.664
"R042_Poc8_TP_2.3",2,"Pocillopora",42,"R",8,2,3,"TP",700,539,1712,0.685
"R043_Poc8_CH_4.3",2,"Pocillopora",43,"R",8,4,3,"CH",822,285,838,0.66
"R044_Poc8_CH_T0.",2,"Pocillopora",44,"R",8,NA,NA,"T0",NA,NA,NA,NA
"R045_Poc8_CH_2.2",2,"Pocillopora",45,"R",8,2,2,"CH",738,303,963,0.685
"R046_Poc8_CH_4.1",2,"Pocillopora",46,"R",8,4,1,"CH",785,329,1093,0.699
"R047_Poc8_TP_4.3",2,"Pocillopora",47,"R",8,4,3,"TP",824,319,926,0.656
"R048_Poc8_CH_3.2",2,"Pocillopora",48,"R",8,3,2,"CH",749,474,1359,0.651
"R049_Poc8_CH_1.2",2,"Pocillopora",49,"R",8,1,2,"CH",760,361,1099,0.672
"R050_Poc8_CH_4.2",2,"Pocillopora",50,"R",8,4,2,"CH",745,309,958,0.677
"R051_Poc8_CH_T0.",2,"Pocillopora",51,"R",8,NA,NA,"T0",NA,NA,NA,NA
"R052_Poc8_CH_0.3",2,"Pocillopora",52,"R",8,0,3,"CH",727,306,1005,0.696
"R053_Poc8_CH_1.1",2,"Pocillopora",53,"R",8,1,1,"CH",809,304,944,0.678
"R054_Poc8_CH_3.1",2,"Pocillopora",54,"R",8,3,1,"CH",778,261,784,0.667
"R055_Poc8_CH_2.3",2,"Pocillopora",55,"R",8,2,3,"CH",706,532,1705,0.688
"R056_Poc8_CH_3.3",2,"Pocillopora",56,"R",8,3,3,"CH",821,474,1488,0.681
"R057_Poc8_CH_1.3",2,"Pocillopora",57,"R",8,1,3,"CH",711,275,830,0.669
"R058_Poc8_CH_0.1",2,"Pocillopora",58,"R",8,0,1,"CH",797,335,912,0.633
"R059_Poc8_CH_2.1",2,"Pocillopora",59,"R",8,2,1,"CH",791,416,1239,0.664
"R060_Poc8_CH_0.2",2,"Pocillopora",60,"R",8,0,2,"CH",771,236,601,0.607
"R101_Por6_CH_0.2",2,"Porites",101,"R",6,0,2,"CH",628,327,777,0.579
"R102_Por6_TP_2.2",2,"Porites",102,"R",6,2,2,"TP",598,452,1186,0.619
"R103_Por6_CH_2.2",2,"Porites",103,"R",6,2,2,"CH",596,496,1359,0.635
"R104_Por6_CH_3.3",2,"Porites",104,"R",6,3,3,"CH",684,355,933,0.62
"R105_Por6_CH_1.1",2,"Porites",105,"R",6,1,1,"CH",674,401,1026,0.609
"R106_Por6_CH_3.2",2,"Porites",106,"R",6,3,2,"CH",626,420,1113,0.623
"R107_Por6_CH_T0.",2,"Porites",107,"R",6,NA,NA,"T0",NA,NA,NA,NA
"R108_Por6_TP_0.2",2,"Porites",108,"R",6,0,2,"TP",633,283,707,0.6
"R109_Por6_CH_2.1",2,"Porites",109,"R",6,2,1,"CH",658,486,1314,0.63
"R110_Por6_TP_4.3",2,"Porites",110,"R",6,4,3,"TP",690,551,1495,0.631
"R111_Por6_CH_1.3",2,"Porites",111,"R",6,1,3,"CH",581,539,1354,0.602
"R112_Por6_CH_4.2",2,"Porites",112,"R",6,4,2,"CH",613,508,1427,0.644
"R113_Por6_CH_0.3",2,"Porites",113,"R",6,0,3,"CH",572,532,1385,0.616
"R114_Por6_CH_T0.",2,"Porites",114,"R",6,NA,NA,"T0",NA,NA,NA,NA
"R115_Por6_CH_2.3",2,"Porites",115,"R",6,2,3,"CH",589,522,1296,0.597
"R116_Por6_CH_1.2",2,"Porites",116,"R",6,1,2,"CH",637,318,837,0.62
"R117_Por6_CH_3.1",2,"Porites",117,"R",6,3,1,"CH",617,396,1080,0.633
"R118_Por6_CH_4.1",2,"Porites",118,"R",6,4,1,"CH",646,461,1190,0.613
"R119_Por6_CH_0.1",2,"Porites",119,"R",6,0,1,"CH",670,445,1144,0.611
"R120_Por6_CH_4.3",2,"Porites",120,"R",6,4,3,"CH",692,424,1118,0.621
"R121_Por7_CH_3.3",2,"Porites",121,"R",7,3,3,"CH",687,461,1152,0.6
"R122_Por7_CH_0.2",2,"Porites",122,"R",7,0,2,"CH",631,488,1208,0.596
"R123_Por7_TP_0.3",2,"Porites",123,"R",7,0,3,"TP",578,509,1311,0.612
"R124_Por7_CH_T0.",2,"Porites",124,"R",7,NA,NA,"T0",NA,NA,NA,NA
"R125_Por7_TP_4.2",2,"Porites",125,"R",7,4,2,"TP",605,480,1206,0.602
"R126_Por7_TP_2.3",2,"Porites",126,"R",7,2,3,"TP",586,390,1030,0.621
"R127_Por7_CH_2.3",2,"Porites",127,"R",7,2,3,"CH",587,517,1267,0.592
"R128_Por7_CH_2.2",2,"Porites",128,"R",7,2,2,"CH",602,467,1221,0.618
"R129_Por7_CH_4.2",2,"Porites",129,"R",7,4,2,"CH",604,364,1084,0.664
"R130_Por7_CH_1.3",2,"Porites",130,"R",7,1,3,"CH",583,255,670,0.619
"R131_Por7_CH_4.3",2,"Porites",131,"R",7,4,3,"CH",691,455,1387,0.672
"R132_Por7_CH_1.1",2,"Porites",132,"R",7,1,1,"CH",678,499,1244,0.599
