Nub_ID,Species,Coral,Color,Colony.No,Assignment ,Treatment,Tank,Initial ,Initial Temperature,Final,Final Temperature,
R053_Poc8_CH_1.1,Pocillopora,53,RED,8,CH,1,1,7.521,26.906,7.601,24.93,
G124_Por2_CH_1.1,Porites,124,Green,2,CH,1,1,4.558,26.723,4.681,25,
G146_Por3_CH_1.1,Porites,146,Green,3,CH,1,1,5.516,26.704,5.815,25.02,
G168_Por4_CH_1.1,Porites,168,Green,4,CH,1,1,4.203,26.824,4.397,25.03,
G193_Por5_CH_1.1,Porites,193,Green,5,CH,1,1,3.542,26.752,3.775,24.99,
R105_Por6_CH_1.1,Porites,105,RED,6,CH,1,1,3.727,26.774,3.919,25.02,
R132_Por7_CH_1.1,Porites,132,RED,7,CH,1,1,6.839,26.817,7.109,24.93,
R175_Por8_CH_1.1,Porites,175,RED,8,CH,1,1,4.888,26.639,5.006,25.02,
G023_Poc2_CH_1.2,Pocillopora,23,Green,2,CH,1,2,3.563,26.701,3.624,25,
G041_Poc3_CH_1.2,Pocillopora,41,Green,3,CH,1,2,3.4,27.052,3.466,25.02,
G066_Poc4_CH_1.2,Pocillopora,66,Green,4,CH,1,2,3.838,26.935,3.877,25.02,
G091_Poc5_CH_1.2,Pocillopora,91,Green,5,CH,1,2,3.674,26.389,3.765,25.02,
R004_Poc6_CH_1.2,Pocillopora,4,RED,6,CH,1,2,4.765,26.327,4.883,25,
R025_Poc7_CH_1.2,Pocillopora,25,RED,7,CH,1,2,3.58,26.941,3.647,25,
R049_Poc8_CH_1.2,Pocillopora,49,RED,8,CH,1,2,10.072,26.893,10.274,25,
G121_Por2_CH_1.2,Porites,121,Green,2,CH,1,2,6.861,26.686,7.205,25,
G143_Por3_CH_1.2,Porites,143,Green,3,CH,1,2,3.755,26.791,4.065,25,
G179_Por4_CH_1.2,Porites,179,Green,4,CH,1,2,4.601,26.86,4.899,25,
G187_Por5_CH_1.2,Porites,187,Green,5,CH,1,2,5.309,26.742,5.349,25,
R116_Por6_CH_1.2,Porites,116,RED,6,CH,1,2,5.3,27.736,5.508,25,
R135_Por7_CH_1.2,Porites,135,RED,7,CH,1,2,4.232,26.843,4.39,25,
R168_Por8_CH_1.2,Porites,168,RED,8,CH,1,2,5.748,26.68,5.992,25,
G027_Poc2_CH_1.3,Pocillopora,27,Green,2,CH,1,3,4.447,26.743,4.571,24.76,
G057_Poc3_CH_1.3,Pocillopora,57,Green,3,CH,1,3,4.704,27.124,4.808,24.93,
G062_Poc4_CH_1.3,Pocillopora,62,Green,4,CH,1,3,3.601,26.96,3.652,24.92,
