,ChamberID,LightM,LightB,LightR2,LightP,GoodLight?,DarkM,DarkB,DarkR2,DarkP,Good?,
46,W0.R4.C10,2.91488937,219.7004743,0.703773422,0.36638431,TRUE,-0.239226197,257.0356292,0.987959961,0.06999539,TRUE,
47,W0.R4.C11,1.616781283,243.2335663,0.752801193,0.331270288,TRUE,-1.114977221,338.068541,0.998405078,0.025431113,TRUE,
48,W0.R4.C12,0.101403509,251.7095263,1,NA,TRUE,-0.318145135,261.0773537,0.999636744,0.01213424,TRUE,
49,W2.R1.C01,3.104897535,375.2601135,0.986224055,0.074893312,TRUE,-1.5395853,491.0056755,0.801259962,0.294163401,TRUE,
50,W2.R1.C02,1.702702703,390.8677568,0.742500743,0.338819057,TRUE,0.187129526,429.5671539,0.242350671,0.672318999,FALSE,
51,W2.R1.C03,1.447913097,329.1961095,0.791641313,0.301768012,TRUE,-1.093483247,415.4223472,0.756465033,0.328560012,TRUE,
52,W2.R1.C04,3.755463045,269.8107213,0.856361887,0.247461315,TRUE,-2.771004048,436.4450062,0.443338058,0.536149771,FALSE,
53,W2.R1.C05,6.597043633,423.7492939,0.984325164,0.079913985,TRUE,-3.251611199,615.332256,0.999835742,0.008159345,TRUE,
54,W2.R1.C06,4.213348175,356.1104915,0.986790959,0.073329129,TRUE,-1.442706319,501.6544116,0.892959713,0.212190033,TRUE,
55,W2.R1.C07,6.137555654,413.2233321,0.946244138,0.148957738,TRUE,-3.352988532,593.0901923,0.996164723,0.039450862,TRUE,
56,W2.R1.C08,1.948032057,272.7553422,0.988858458,0.067322857,TRUE,-0.769736842,336.9755351,0.939467226,0.158255039,TRUE,
57,W2.R1.C09,0.57333927,212.0749264,0.946425865,0.148701052,TRUE,0.027597257,220.581768,0.111451001,0.783309075,FALSE,
58,W2.R1.C10,2.782264341,315.1297272,0.944870031,0.150885548,TRUE,-1.480131579,404.7209518,0.876695755,0.228416549,TRUE,
