Nub_ID,Nubbin.ID,Colony,Nutrient.Level,Tank.Level,Species,Assignment,d.wt,Chip_X.mm,Chip_Y.mm,Chip_Z.mm,Dome.Cone,r,chunk_SA,nub_SA,Total_SA,bw.growth,std.growth
G055_Poc3_CH_N3.T1,G055_Poc3_CH,3,N3,T1,POC,CH,0.74501,2.47,1.88,5.03,Cone,2.175,52.30704095,3313.26879,3365.57583,2.255558726,0.000670185
G056_Poc3_CH_N3.T2,G056_Poc3_CH,3,N3,T2,POC,CH,0.17526,3.09,3.1,3.93,Cone,3.095,78.73279815,916.1284087,994.8612068,1.562385409,0.001570456
G057_Poc3_CH_N1.T3,G057_Poc3_CH,3,N1,T3,POC,CH,0.28004,3.55,5.54,5.82,Cone,4.545,170.3344581,1356.975042,1527.3095,2.210772101,0.001447495
G058_Poc3_CH_T0,G058_Poc3_CH,3,,T0,POC,T0,0.3937,2.24,2.34,4.15,Cone,NA,NA,NA,NA,NA,NA
G059_Poc3_CH_N0.T3,G059_Poc3_CH,3,N0,T3,POC,CH,0.13562,5.18,4.48,6.89,Cone,4.83,200.9680855,749.3488655,950.3169511,1.369752041,0.001441363
G060_Poc3_CH_N4.T2,G060_Poc3_CH,3,N4,T2,POC,CH,0.28693,3.77,6.2,11.78,Cone,4.985,278.3925561,1385.963716,1664.356272,1.793321946,0.001077487
G061_Poc4_CH_N3.T3,G061_Poc4_CH,4,N3,T3,POC,CH,0.15741,4.06,2.31,17.29,Cone,3.185,207.7831062,841.027126,1048.810232,1.353009725,0.001290042
G062_Poc4_CH_N1.T3,G062_Poc4_CH,4,N1,T3,POC,CH,0.0877,2.51,2.71,10.98,Cone,2.61,113.9405709,547.7324249,661.6729958,1.416169701,0.002140286
G063_Poc4_CH_N2.T1,G063_Poc4_CH,4,N2,T1,POC,CH,0.16946,1.96,1.77,3.09,Cone,1.865,32.07372292,891.725751,923.7994739,1.154855271,0.001250115
G064_Poc4_CH_T0,G064_Poc4_CH,4,,T0,POC,T0,0.11031,2,2.38,2.7,Cone,NA,NA,NA,NA,NA,NA
G065_Poc4_TP_N3.T2,G065_Poc4_TP,4,N3,T2,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G066_Poc4_CH_N1.T2,G066_Poc4_CH,4,N1,T2,POC,CH,0.07104,5.12,5.37,13.06,Cone,5.245,318.329533,477.6378944,795.9674274,1.016057417,0.001276506
G067_Poc4_CH_T0,G067_Poc4_CH,4,,T0,POC,T0,0.46831,2.21,2.11,4.24,Cone,NA,NA,NA,NA,NA,NA
G068_Poc4_CH_N0.T2,G068_Poc4_CH,4,N0,T2,POC,CH,0.1595,3.38,2.83,6.13,Cone,3.105,97.3175107,849.8204975,947.1380082,1.006605491,0.001062787
G069_Poc4_TP_N4.T3,G069_Poc4_TP,4,N4,T3,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G070_Poc4_CH_N2.T3,G070_Poc4_CH,4,N2,T3,POC,CH,0.05428,2.86,4.59,6.46,Cone,3.725,130.8568968,407.1226285,537.9795252,1.250818838,0.002325031
G071_Poc4_TP_N0.T2,G071_Poc4_TP,4,N0,T2,POC,TP,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA
G072_Poc4_CH_N0.T3,G072_Poc4_CH,4,N0,T3,POC,CH,0.19095,2.9,2.53,7.05,Cone,2.715,87.59475769,982.141805,1069.736563,1.706145571,0.001594921
G073_Poc4_CH_N1.T1,G073_Poc4_CH,4,N1,T1,POC,CH,0.23339,2.41,0.273,5.7,Cone,1.3415,30.33235853,1160.701942,1191.0343,1.296020807,0.001088147
G074_Poc4_CH_N3.T1,G074_Poc4_CH,4,N3,T1,POC,CH,0.25192,2.43,3.12,3.88,Cone,2.775,65.77864532,1238.664225,1304.442871,0.958200301,0.000734567
G075_Poc4_CH_N4.T1,G075_Poc4_CH,4,N4,T1,POC,CH,0.515,2.66,3.72,7.47,Cone,3.19,113.3714913,2345.535119,2458.90661,0.750988538,0.000305416
G076_Poc4_CH_N4.T3,G076_Poc4_CH,4,N4,T3,POC,CH,0.22021,2.36,2.12,4.18,Cone,2.24,49.13605322,1105.249006,1154.385059,0.82816569,0.000717409
G077_Poc4_CH_N3.T2,G077_Poc4_CH,4,N3,T2,POC,CH,0.1864,3.53,4.5,7.08,Cone,4.015,153.3069724,962.9983408,1116.305313,0.90950338,0.000814744
G078_Poc4_CH_N4.T2,G078_Poc4_CH,4,N4,T2,POC,CH,0.16833,2.98,3.46,8.13,Cone,3.22,121.0314577,886.9714401,1008.002898,0.60305883,0.000598271
G079_Poc4_CH_N2.T2,G079_Poc4_CH,4,N2,T2,POC,CH,0.25229,4.48,3.35,9.88,Cone,3.915,178.8618494,1240.220947,1419.082796,1.255399881,0.000884656
